<!-- Atlas des flux RSS/ATOM - rubrique politique - langue française - par Saynète http://www.saynete.net - http://atlasflux.saynete.net 22_01_2020 -->
"Le Devoir : politique : Canada";"https://www.ledevoir.com/rss/section/politique/canada.xml";"politique";"presse";
"Le Devoir : politique : Québec";"https://www.ledevoir.com/rss/section/politique/quebec.xml";"politique";"presse";
"Le Figaro : Adrien Quatennens";"http://plus.lefigaro.fr/tag/adrien-quatennens/rss.xml";"politique";"personnalite";
"Le Figaro : Benoît Hamon";"http://plus.lefigaro.fr/tag/hamon/rss.xml";"politique";"personnalite";
"Le Figaro : blog";"http://blog.lefigaro.fr/agregateur/atom.xml";"politique";
"Le Figaro : consommation";"https://www.lefigaro.fr/rss/figaro_conso.xml";"politique";"consommation";
"Le Figaro : François de Rugy";"http://plus.lefigaro.fr/tag/francois-de-rugy/rss.xml";"politique";"personnalite";
"Le Figaro : François Bayrou";"http://plus.lefigaro.fr/tag/bayrou/rss.xml";"politique";"personnalite";
"Le Figaro : gilets jaunes";"http://plus.lefigaro.fr/tag/gilets-jaunes/rss.xml";"politique";"syndicat";
"Le Figaro : impots";"https://www.lefigaro.fr/rss/figaro_impots.xml";"politique";
"Le Figaro : Jean-Luc Mélenchon";"http://plus.lefigaro.fr/tag/melenchon/rss.xml";"politique";"personnalite";
"Le Figaro : Jordan Bardella";"http://plus.lefigaro.fr/tag/jordan-bardella/rss.xml";"politique";"personnalite";
"Le Figaro : La République En Marche";"http://plus.lefigaro.fr/tag/la-republique-en-marche/rss.xml";"politique";"parti";
"Le Figaro : Laurent Wauquiez";"http://plus.lefigaro.fr/tag/laurent-wauquiez/rss.xml";"politique";"personnalite";
"Le Figaro : Louis Aliot";"http://plus.lefigaro.fr/tag/louis-aliot/rss.xml";"politique";"personnalite";
"Le Figaro : Nicolas Hulot";"http://plus.lefigaro.fr/tag/nicolas-hulot/rss.xml";"politique";"personnalite";
"Le Figaro : Parti Socialiste";"http://plus.lefigaro.fr/tag/parti-socialiste/rss.xml";"politique";"parti";
"Le Figaro : placement";"https://www.lefigaro.fr/rss/figaro_placement.xml";"politique";
"Le Figaro : politique";"https://www.lefigaro.fr/rss/figaro_politique.xml";"politique";"presse";
"Le Figaro : retraite";"https://www.lefigaro.fr/rss/figaro_retraite.xml";"politique";
"Le Figaro : Ségolène Royal";"http://plus.lefigaro.fr/tag/segolene-royal/rss.xml";"politique";"personnalite";
"Le Figaro : Valérie Pécresse";"http://plus.lefigaro.fr/tag/valerie-pecresse/rss.xml";"politique";"personnalite";
"Le grand continent";"https://legrandcontinent.eu/fr/feed/";"politique";
"Le libre penseur";"https://www.lelibrepenseur.org/feed/";"politique";
"Le Monde : Emmanuel Macron";"https://www.lemonde.fr/emmanuel-macron/rss_full.xml";"politique";"personnalite";
"Le Monde : La France Insoumise";"https://www.lemonde.fr/la-france-insoumise/rss_full.xml";"politique";"parti";
"Le Monde : La République En Marche";"https://www.lemonde.fr/la-republique-en-marche/rss_full.xml";"politique";"parti";
"Le Monde : Les Républicains";"https://www.lemonde.fr/les-republicains/rss_full.xml";"politique";"parti";
"Le Monde : Parti Socialiste";"https://www.lemonde.fr/parti-socialiste/rss_full.xml";"politique";"parti";
"Le Monde : politique";"https://www.lemonde.fr/politique/rss_full.xml";"politique";"presse";
"Le Monde : Rassemblement National";"https://www.lemonde.fr/front-national/rss_full.xml";"politique";"parti";
"Le monde juif";"https://www.lemondejuif.info/feed/";"politique";
"Le NouvelObs : politique";"https://www.nouvelobs.com/politique/rss.xml";"politique";"presse";
"Le Petit Journal : politique";"https://www.lepetitjournal.net/thematique/politique/feed/";"politique";
"Le peuple breton";"https://lepeuplebreton.bzh/feed/";"politique";
"Le Point : Jean-Luc Mélenchon";"https://www.lepoint.fr/tags/rss/Jean-Luc-M%c3%a9lenchon.xml?format=rss";"politique";"personnalite";
"Le Point : politique";"https://www.lepoint.fr/politique/rss.xml";"politique";
"Le Point : Valérie Pécresse";"https://www.lepoint.fr/tags/rss/valerie-pecresse.xml";"politique";"personnalite";
"Le Progrès : politique";"https://www.leprogres.fr/politique/rss";"politique";"presse";
"Le Stagirite";"https://www.youtube.com/feeds/videos.xml?channel_id=UCtyONQLs6htK-wWiCAk4wVw";"politique";
"LeParisien : politique";"http://www.leparisien.fr/politique/rss.xml";"politique";"presse";
"Les Échos : politique";"http://syndication.lesechos.fr/rss/rss_politique.xml";"politique";"presse";
"Les crises";"http://feeds.feedburner.com/les-crises-fr?format=xml";"politique";"tribune";
"Les indignés du Québec";"https://lesindignesduquebec.wordpress.com/feed/";"politique";
"Les moutons enragés";"https://lesmoutonsenrages.fr/feed/";"politique";"tribune";
"Les Patriotes";"https://www.les-patriotes.fr/feed/";"politique";"parti";
"Les Républicains : Bas-Rhin";"http://www.ump67.eu/feed/";"politique";"parti";
"Les Républicains : Isère";"http://www.republicains38.fr/feed/";"politique";"parti";
"Les Républicains : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UC3Ma4tRFxx85oZI_XKVTPwg";"politique";"parti";
"Libération : politique";"http://rss.liberation.fr/rss/11/";"politique";"presse";
"Lutte ouvrière";"https://www.lutte-ouvriere.org/actualite/rss.xml";"politique";"parti";
"Médiaterranée";"https://www.mediaterranee.com/flux.xml";"politique";"tribune";
"Mémoire des luttes";"http://www.medelu.org/spip.php?page=backend";"politique";
"Ma commune : politique";"https://www.macommune.info/?feed=actualite-politique";"politique";
"Mai 68";"http://mai68.org/spip/spip.php?page=backend";"politique";
"Manon Aubry : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCyX-_BipdNpdFgeZEQBNstA";"politique";"personnalite";
"Marc Le Fur";"http://marclefur.bzh/feed/";"politique";"personnalite";
"Marianne : La France Insoumise";"https://www.marianne.net/taxonomy/term/829/feed";"politique";"parti";
"Marianne : Les Républicains";"https://www.marianne.net/taxonomy/term/6/feed";"politique";"parti";
"Marianne : Parti Socialiste";"https://www.marianne.net/taxonomy/term/81/feed";"politique";"parti";
"Marianne : politique";"https://www.marianne.net/taxonomy/term/2/feed";"politique";
"Michelle Rivasi";"https://www.michele-rivasi.eu/feed";"politique";"personnalite";
"Midi insoumis, populaire et citoyen";"http://www.gauchemip.org/backend.php3";"politique";"parti";
"Ministère de l'intérieur : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCvJ7MfsC_VxHQeYHAIo6Y6A";"politique";
"Mouvement des progressistes";"https://www.md-progressistes.fr/feed/";"politique";"parti";
"Mouvement Ni Putes Ni Soumises";"https://npns.eu/feed/";"politique";"institution";
"MRC - Mouvement Républicain et Citoyen";"http://feeds.feedburner.com/mouvementrepublicainetcitoyen";"politique";"parti";
"MRS - Mouvement Région Savoie";"http://regionsavoie.org/?format=feed&amp;type=rss";"politique";"parti";
"Nathalie Arthaud : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCZsh-MrJftAOP_-ZgRgLScw";"politique";"personnalite";
"Nations Unies : dernières dépêches";"https://news.un.org/feed/subscribe/fr/news/all/rss.xml";"politique";
"Nations Unies : derniers communiqués";"https://www.un.org/press/fr/feed";"politique";
"Nations Unies : paix et sécurité ";"https://news.un.org/feed/subscribe/fr/news/topic/peace-and-security/feed/rss.xml";"politique";"geopolitique";
"Nice-Matin : politique";"https://www.nicematin.com/sujet/politique/rss";"politique";"presse";
"Nicolas Dupont Aignan : blog";"http://blog.nicolasdupontaignan.fr/feed/atom";"politique";"personnalite";
"Nicolas Dupont-Aignan : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCfA5DnCDX3Ixy5QOAMGtBlA";"politique";"personnalite";
"NosDéputés : Bretagne";"https://www.nosdeputes.fr/recherche/bretagne?format=rss";"politique";
"NosDéputés : François de Rugy";"https://www.nosdeputes.fr/francois-de-rugy/rss";"politique";"personnalite";
"NosDéputés : Jean-Félix Acquaviva";"https://www.nosdeputes.fr/jean-felix-acquaviva/rss";"politique";"personnalite";
"NosDéputés : Jean-Jacques Ferrara";"https://www.nosdeputes.fr/jean-jacques-ferrara/rss";"politique";"personnalite";
"NosDéputés : Michel Castellani";"https://www.nosdeputes.fr/michel-castellani/rss";"politique";"personnalite";
"NosDéputés : Paul-André Colombani";"https://www.nosdeputes.fr/paul-andre-colombani/rss";"politique";"personnalite";
"Nouvelle Donne";"https://www.nouvelledonne.fr/feed/";"politique";"parti";
"NPA - Nouveau Parti Anticapitaliste";"https://npa2009.org/rss";"politique";"parti";
